label,image,back
blue-blank,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-blank.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-blank.svg
blue-dolphin,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-dolphin.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-dolphin.svg
blue-octopus,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-octopus.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-octopus.svg
blue-whale,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-whale.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/blue-whale.svg
green-alligator,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-alligator.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-alligator.svg
green-blank,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-blank.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-blank.svg
green-lizard,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-lizard.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-lizard.svg
green-snake,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-snake.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/green-snake.svg
red-blank,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-blank.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-blank.svg
red-dog,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-dog.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-dog.svg
red-fox,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-fox.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-fox.svg
red-wolf,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-wolf.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/red-wolf.svg
yellow-blank,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-blank.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-blank.svg
yellow-owl,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-owl.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-owl.svg
yellow-peacock,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-peacock.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-peacock.svg
yellow-penguin,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-penguin.svg,https://raw.githubusercontent.com/rayzg/other-games/master/corporation/playingcards.io/yellow-penguin.svg
